model,deployment,id,breed,latency_ms,error
base,gpt-4o,377,Miniature Pinscher,1755.2535000004355,
base,gpt-4o,378,Miniature Pinscher,1725.8537000006982,
base,gpt-4o,379,Miniature Pinscher,1334.6803000004002,
base,gpt-4o,380,Miniature Poodle,2046.1441999996168,
base,gpt-4o,381,Miniature Poodle,1547.8154000002178,
base,gpt-4o,382,Miniature Poodle,1603.220500000134,
base,gpt-4o,383,Miniature Poodle,1682.428500000242,
base,gpt-4o,384,Miniature Poodle,1547.2034000003987,
base,gpt-4o,385,Miniature Schnauzer,1663.7203000000227,
base,gpt-4o,386,Miniature Schnauzer,1528.2755000007455,
base,gpt-4o,387,Miniature Schnauzer,1565.0324000007458,
base,gpt-4o,388,Miniature Schnauzer,1503.2783999995445,
base,gpt-4o,389,Miniature Schnauzer,1723.0988000001162,
base,gpt-4o,390,Newfoundland,2022.2667999996702,
base,gpt-4o,391,Newfoundland,1809.5448999993096,
base,gpt-4o,392,Newfoundland,1608.228699999927,
base,gpt-4o,393,Newfoundland,1668.6685999993642,
base,gpt-4o,394,Newfoundland,1198.678600000676,
base,gpt-4o,395,Norfolk Terrier,1671.9966999999087,
base,gpt-4o,396,Norfolk Terrier,1261.4066999994975,
base,gpt-4o,397,Norfolk Terrier,1512.7615999999762,
base,gpt-4o,398,Norfolk Terrier,1772.0735000002605,
base,gpt-4o,399,Norfolk Terrier,1131.2465999999404,
base,gpt-4o,400,Norwegian Elkhound,1551.7759000003934,
base,gpt-4o,401,Norwegian Elkhound,2018.2158000006893,
base,gpt-4o,402,Norwegian Elkhound,1597.0810999997411,
base,gpt-4o,403,Norwegian Elkhound,1701.5541999999186,
base,gpt-4o,404,Norwegian Elkhound,1657.4550999994244,
base,gpt-4o,405,Norwich Terrier,1462.1081000004779,
base,gpt-4o,406,Norwich Terrier,1391.0306999996465,
base,gpt-4o,407,Norwich Terrier,1619.7970000002897,
base,gpt-4o,408,Norwich Terrier,1725.79769999993,
base,gpt-4o,409,Norwich Terrier,2519.625100000667,
base,gpt-4o,410,Old English Sheepdog,1609.515399999509,
base,gpt-4o,411,Old English Sheepdog,1325.9017000000313,
base,gpt-4o,412,Old English Sheepdog,1558.95000000055,
base,gpt-4o,413,Old English Sheepdog,1657.1839999996882,
base,gpt-4o,414,Old English Sheepdog,1479.6535000004951,
base,gpt-4o,415,Otterhound,1428.851300000133,
base,gpt-4o,416,Otterhound,1928.5343000001376,
base,gpt-4o,417,Otterhound,1537.017300000116,
base,gpt-4o,418,Otterhound,1380.3796000001967,
base,gpt-4o,419,Otterhound,1598.570899999686,
base,gpt-4o,420,Papillon,1488.8860000000932,
